review_row	term	observed_direction	reviewed_category	literature_alignment	direction_assessment	confidence	rationale	citations
1	R-MMU-9769740_COAGULATION_PATHWAY	FLT_up	green_prior_aligned	Spaceflight thymus/spleen analyses repeatedly implicate platelet and hemostasis programs.	FLT_up is consistent with platelet/hemostasis enrichment, though it is not a core thymocyte axis.	medium	Coagulation signal fits reported platelet-related spaceflight DEGs in spleen/thymus datasets.	Han2023;Gridley2003
2	R-MMU-8980692_RHOA_GTPASE_CYCLE	FLT_down	blue_plausible_complementary	Microgravity literature supports cytoskeletal small-GTPase involvement, but not a thymus-specific RHOA direction.	FLT_down is plausible for impaired motility or cytoskeletal remodeling, but direction evidence is indirect.	medium	RHOA-cycle suppression can fit gravity-sensitive actin, adhesion, and stromal-thymocyte motility changes without being a direct thymus marker.	Akiyama2020;DaSilveira2020
3	R-MMU-1640170_CELL_CYCLE	FLT_down	green_prior_aligned	Direct murine thymus spaceflight RNA-seq reports reduced cell-cycle gene expression.	FLT_down aligns with reported flight-side suppression of thymic proliferation.	high	Cell-cycle downshift is the strongest direct thymus-spaceflight direction signal.	Horie2019;Okamura2024
4	R-MMU-8951664_NEDDYLATION	FLT_up	blue_plausible_complementary	Spaceflight causes DNA-damage and proteostasis stress, but neddylation is not directly resolved in thymus.	FLT_up is plausible as stress-response post-translational control; direction is indirect.	low	Neddylation could support damage/protein-turnover adaptation without direct thymus proof.	Afshinnekoo2020;Gridley2013
5	R-MMU-8856688_GOLGI_TO_ER_RETROGRADE_TRANSPORT	FLT_down	blue_plausible_complementary	Space-omics support proteostasis and organelle-stress remodeling, not a direct thymic Golgi-to-ER direction.	FLT_down is plausible as reduced secretory or ER-Golgi trafficking capacity, with indirect support.	low	Retrograde-transport suppression could accompany stress or cell-composition shifts, but direct thymus evidence is absent.	DaSilveira2020;Afshinnekoo2020
6	R-MMU-73894_DNA_REPAIR	FLT_up	green_prior_aligned	Space radiation and flight multi-omics consistently report DNA damage responses.	FLT_up aligns with activation of repair programs after spaceflight stress.	high	DNA repair is a canonical spaceflight feature and fits thymic DNA-fragmentation/DNA-damage context.	Afshinnekoo2020;Luxton2020;Gridley2013
7	R-MMU-2672351_STIMULI_SENSING_CHANNELS	FLT_down	blue_plausible_complementary	Gravity sensing and calcium/channel biology are plausible, but direct thymus direction data are absent.	FLT_down is plausible for altered mechanosensory/channel signaling, but not directionally proven.	low	Suppressed stimulus-sensing channel programs could track impaired activation or mechanotransduction under altered gravity.	Akiyama2020;DaSilveira2020
8	R-MMU-69278_CELL_CYCLE_MITOTIC	FLT_down	green_prior_aligned	Direct thymus spaceflight studies report reduced mitotic/cell-cycle genes.	FLT_down aligns with reported flight-associated suppression of mitosis.	high	Mitotic cell-cycle suppression matches thymic atrophy and reduced-proliferation evidence.	Horie2019;Okamura2024
9	R-MMU-1630316_GLYCOSAMINOGLYCAN_METABOLISM	FLT_up	blue_plausible_complementary	Thymic microenvironment and stromal remodeling are plausible, but glycosaminoglycan direction is not direct.	FLT_up is compatible with ECM remodeling but not direction-proven.	low	Glycosaminoglycan metabolism may reflect stromal matrix remodeling during involution.	Okamura2024;Akiyama2020
10	R-MMU-157579_TELOMERE_MAINTENANCE	FLT_up	green_prior_aligned	Spaceflight literature reports Tert/telomere and DNA-damage/telomere dynamics.	FLT_up aligns with telomere-maintenance activation under spaceflight stress.	high	Telomere maintenance matches flight-associated Tert/telomere changes and DNA-damage responses.	Gridley2009;Luxton2020;Afshinnekoo2020
