term	reviewed_category	reviewed_category_label	observed_direction	literature_alignment	direction_assessment	confidence	review_rationale	citations	flight_minus_ground	welch_fdr	abs_effect	mean_abs_accession_effect	abs_mean_accession_effect	low_effect_threshold	category	category_label
R-MMU-2559586_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	green_prior_aligned	prior literature aligned	FLT_up	Spaceflight literature supports DNA damage, telomere stress, and senescence-related responses.	FLT_up aligns with DNA-damage/telomere-stress senescence biology.	high	This pathway directly matches space radiation/telomere and DNA-damage response literature.	Luxton2020;Afshinnekoo2020	0.8171984501719579	0.0042639574534601	0.8171984501719579	1.134124983728246	1.134124983728246	0.0452117281136842	prior_literature_match	prior literature match
R-MMU-15869_METABOLISM_OF_NUCLEOTIDES	orange_uncertain_no_direct_support	uncertain/no direct support	FLT_up	Nucleotide metabolism can reflect DNA repair or proliferation, but thymus proliferation evidence points downward.	FLT_up has mixed support and cannot be called direction-aligned.	medium	Nucleotide metabolism is too broad and sits between DNA-repair activation and suppressed thymic cycling.	Horie2019;Luxton2020	0.9652873905883596	2.5724779409477177e-08	0.9652873905883596	1.042990064164298	1.042990064164298	0.0452117281136842	prior_literature_match	prior literature match
R-MMU-73894_DNA_REPAIR	green_prior_aligned	prior literature aligned	FLT_up	Space radiation and flight multi-omics consistently report DNA damage responses.	FLT_up aligns with activation of repair programs after spaceflight stress.	high	DNA repair is a canonical spaceflight feature and fits thymic DNA-fragmentation/DNA-damage context.	Afshinnekoo2020;Luxton2020;Gridley2013	0.9285032611507934	2.3170704474466327e-09	0.9285032611507934	1.0068827600368422	1.0068827600368422	0.0452117281136842	prior_literature_match	prior literature match
R-MMU-9851695_EPIGENETIC_REGULATION_OF_ADIPOGENESIS_GENES_BY_MLL3_AND_MLL4_COMPLEXES	blue_plausible_complementary	plausible/complementary	FLT_up	Spaceflight literature supports epigenetic and MSC adipogenic remodeling, but this term is indirect for thymus.	FLT_up is plausible epigenetic/stromal remodeling.	low	MLL3/MLL4 adipogenesis regulation is adjacent to altered MSC lineage biology, not direct thymus evidence.	Akiyama2020;Afshinnekoo2020	0.5068968220899468	0.2274434146714194	0.5068968220899468	0.9405745326589476	0.9405745326589476	0.0452117281136842	plausible_complementary	plausible/complementary
R-MMU-6811434_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC	blue_plausible_complementary	plausible/complementary	FLT_up	Proteostasis/organelle trafficking is plausible in spaceflight stress, but not directly thymus-directional.	FLT_up is plausible but indirect.	low	COPI traffic may track secretory and ER-Golgi stress in remodeled thymic cells.	DaSilveira2020;Afshinnekoo2020	0.8377131762412697	3.617106488366466e-08	0.8377131762412697	0.9291800423580702	0.9291800423580702	0.0452117281136842	plausible_complementary	plausible/complementary
R-MMU-212436_GENERIC_TRANSCRIPTION_PATHWAY	orange_uncertain_no_direct_support	uncertain/no direct support	FLT_up	Spaceflight affects gene regulation, but generic transcription lacks pathway-specific direction.	FLT_up is broad and directionally ambiguous.	medium	Generic transcription can reflect many cell types and stress states, so support is nonspecific.	Afshinnekoo2020;Lebsack2010	0.5567819050899471	5.391060179973887e-06	0.5567819050899471	0.6303390344845613	0.6303390344845613	0.0452117281136842	prior_literature_match	prior literature match
R-MMU-1430728_METABOLISM	orange_uncertain_no_direct_support	uncertain/no direct support	FLT_up	Metabolism is a broad spaceflight feature, but this term lacks pathway-specific thymus direction.	FLT_up is too generic to align confidently.	low	Generic metabolism cannot distinguish mitochondrial, lipid, nucleotide, or cell-composition effects.	Afshinnekoo2020;DaSilveira2020	0.5496332002645494	3.617106488366466e-08	0.5496332002645494	0.6153945210526309	0.6153945210526309	0.0452117281136842	broad_or_uncertain_signal	broad/uncertain signal
R-MMU-8957322_METABOLISM_OF_STEROIDS	green_prior_aligned	prior literature aligned	FLT_up	Murine thymus spaceflight data implicate glucocorticoid receptor metabolism and stress steroids.	FLT_up aligns with steroid/glucocorticoid stress remodeling.	medium	Steroid metabolism fits elevated glucocorticoids and thymic stress-response literature.	Lebsack2010;Benjamin2016;Horie2019	0.5100533674272487	3.0644884554426846e-06	0.5100533674272487	0.5799021726164035	0.5799021726164035	0.0452117281136842	plausible_complementary	plausible/complementary
R-MMU-157579_TELOMERE_MAINTENANCE	green_prior_aligned	prior literature aligned	FLT_up	Spaceflight literature reports Tert/telomere and DNA-damage/telomere dynamics.	FLT_up aligns with telomere-maintenance activation under spaceflight stress.	high	Telomere maintenance matches flight-associated Tert/telomere changes and DNA-damage responses.	Gridley2009;Luxton2020;Afshinnekoo2020	0.4819538418994709	6.734357213894668e-09	0.4819538418994709	0.5554702357489474	0.5554702357489474	0.0452117281136842	prior_literature_match	prior literature match
R-MMU-109582_HEMOSTASIS	green_prior_aligned	prior literature aligned	FLT_up	Spaceflight spleen/thymus reanalysis and mouse immune studies implicate platelet/hemostasis biology.	FLT_up aligns with reported platelet/hemostasis involvement.	medium	Hemostasis is consistent with platelet-related spaceflight signals.	Han2023;Gridley2003	0.4216332103174598	0.0007867484439658	0.4216332103174598	0.4934601408666669	0.4934601408666669	0.0452117281136842	plausible_complementary	plausible/complementary
R-MMU-382551_TRANSPORT_OF_SMALL_MOLECULES	orange_uncertain_no_direct_support	uncertain/no direct support	FLT_up	Small-molecule transport is a broad metabolic signal with no thymus direction evidence.	FLT_up is nonspecific.	low	Transport of small molecules lacks direct thymus-spaceflight literature support.	Afshinnekoo2020	0.3785884079365083	1.6530147299988883e-05	0.3785884079365083	0.4523729386315788	0.4523729386315788	0.0452117281136842	plausible_complementary	plausible/complementary
R-MMU-5357801_PROGRAMMED_CELL_DEATH	green_prior_aligned	prior literature aligned	FLT_up	Direct thymus spaceflight literature supports apoptosis and programmed cell death.	FLT_up aligns with thymic involution/apoptotic signaling.	high	Programmed cell death is strongly supported by thymic DNA fragmentation and unloading apoptosis data.	Gridley2013;Muramatsu2025	0.4167204333306877	0.0001859343831014	0.4167204333306877	0.4478135698017542	0.4478135698017542	0.0452117281136842	prior_literature_match	prior literature match
R-MMU-446203_ASPARAGINE_N_LINKED_GLYCOSYLATION	blue_plausible_complementary	plausible/complementary	FLT_up	Glycosylation can affect immune receptors/proteostasis, but thymus-spaceflight direction is indirect.	FLT_up is plausible but weak.	low	N-linked glycosylation may track secretory or immune-receptor remodeling.	DaSilveira2020;Afshinnekoo2020	0.3503661986640212	0.0014284265200912	0.3503661986640212	0.4391501264992983	0.4391501264992983	0.0452117281136842	broad_or_uncertain_signal	broad/uncertain signal
