term	reviewed_category	reviewed_category_label	observed_direction	literature_alignment	direction_assessment	confidence	review_rationale	citations	flight_minus_ground	welch_fdr	abs_effect	mean_abs_accession_effect	abs_mean_accession_effect	low_effect_threshold	category	category_label
R-MMU-1640170_CELL_CYCLE	blue_plausible_complementary	plausible/complementary	FLT_up	plausible_indirect	FLT_up is plausible but ambiguous	medium	Space-flown soleus shows myogenic reprogramming markers, but cell-cycle pathway activation could reflect nonmyofiber cells or arrest rather than direct myofiber proliferation.	Gambara2017;Bonaldo2013	0.4363607831428573	0.1101983025180535	0.4363607831428573	0.3568721366666668	0.3384807299999999	0.0298317394874073	plausible_complementary	plausible/complementary
R-MMU-194315_SIGNALING_BY_RHO_GTPASES	blue_plausible_complementary	plausible/complementary	FLT_up	plausible_indirect	FLT_up is plausible	medium	Rho-family signaling fits cytoskeletal, adhesion, and mechanotransduction remodeling during unloading, but direct pathway-level up evidence is limited.	Murgia2024;Chopard2009	0.2675955350000008	0.2317646729484883	0.2675955350000008	0.3252975444444442	0.1773149466666668	0.0298317394874073	plausible_complementary	plausible/complementary
R-MMU-418594_G_ALPHA_I_SIGNALLING_EVENTS	blue_plausible_complementary	plausible/complementary	FLT_up	plausible_indirect	FLT_up is plausible but not directly shown	low	G-protein signaling can interact with disuse, metabolism, and inflammatory pathways, but prior soleus spaceflight studies do not establish G alpha i up-regulation.	Chopard2009;Gambara2017	0.2015407709082857	0.0142289768741291	0.2015407709082857	0.1740394551737036	0.1740394551737036	0.0298317394874073	plausible_complementary	plausible/complementary
R-MMU-373076_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	blue_plausible_complementary	plausible/complementary	FLT_up	plausible_indirect	FLT_up is plausible for GPCR biology	low	This Reactome family mostly represents class A GPCRs, not only visual rhodopsin; GPCR signaling is plausible in stress and inflammatory remodeling, but direction evidence is weak.	Chopard2009;Gambara2017	0.1738485696571428	0.1103080975065367	0.1738485696571428	0.1761718880370369	0.1425560493703703	0.0298317394874073	likely_artifact	likely artifact/junk
R-MMU-73894_DNA_REPAIR	blue_plausible_complementary	plausible/complementary	FLT_up	plausible_indirect	FLT_up is plausible under space stress	medium	Spaceflight combines unloading with oxidative and radiation stress, making DNA repair plausible, but skeletal-muscle-specific direction is indirect.	Murgia2024;Tascher2017	0.1747503382857143	0.1233701063567364	0.1747503382857143	0.1401184675925924	0.1401184675925924	0.0298317394874073	plausible_complementary	plausible/complementary
R-MMU-199991_MEMBRANE_TRAFFICKING	blue_plausible_complementary	plausible/complementary	FLT_up	plausible_indirect	FLT_up is plausible but weakly direct	low	Membrane trafficking may reflect receptor, ion-channel, and proteostasis remodeling, but specific direction evidence in soleus microgravity is limited.	Sandona2012;Bonaldo2013	0.1795823375714287	0.2124161497136314	0.1795823375714287	0.1909035749999998	0.1295374083333331	0.0298317394874073	plausible_complementary	plausible/complementary
R-MMU-421270_CELL_CELL_JUNCTION_ORGANIZATION	blue_plausible_complementary	plausible/complementary	FLT_up	plausible_with_close_support	FLT_up is plausible	medium	Human astronaut soleus showed postflight enrichment of cell-junction/cytoskeletal and ECM-related annotations, but mouse transcript data are mixed.	Murgia2024;Okada2021	0.171183117657143	0.2124161497136314	0.171183117657143	0.1944968322592592	0.1169308835925925	0.0298317394874073	broad_or_uncertain_signal	broad/uncertain signal
R-MMU-8951664_NEDDYLATION	blue_plausible_complementary	plausible/complementary	FLT_up	plausible_indirect	FLT_up is plausible but not direct	low	Protein turnover pathways are central to muscle atrophy, but neddylation-specific up-regulation is not directly shown in soleus spaceflight literature.	Bonaldo2013;Tascher2017	0.1125473569358571	0.2124161497136314	0.1125473569358571	0.1732656932781481	0.0972983172181481	0.0298317394874073	broad_or_uncertain_signal	broad/uncertain signal
R-MMU-5684996_MAPK1_MAPK3_SIGNALING	blue_plausible_complementary	plausible/complementary	FLT_up	plausible_indirect	FLT_up is plausible	medium	MAPK signaling is a plausible disuse/stress pathway, but MAPK1/3-specific direction in soleus spaceflight is not directly shown.	Chopard2009;Bonaldo2013	0.1468878679857143	0.4034424839827852	0.1468878679857143	0.2681980855740741	0.086150745574074	0.0298317394874073	plausible_complementary	plausible/complementary
R-MMU-5668541_TNFR2_NON_CANONICAL_NF_KB_PATHWAY	blue_plausible_complementary	plausible/complementary	FLT_up	plausible_indirect	FLT_up is plausible for NF-kB biology	medium	NF-kB and inflammatory signaling are recognized in disuse atrophy, but TNFR2 noncanonical signaling is a more specific pathway than the direct evidence supports.	Chopard2009;Gambara2017	0.1113219475212857	0.2124161497136314	0.1113219475212857	0.1426104442116666	0.0773125400572222	0.0298317394874073	broad_or_uncertain_signal	broad/uncertain signal
R-MMU-1474290_COLLAGEN_FORMATION	blue_plausible_complementary	plausible/complementary	FLT_up	mixed_but_plausible	FLT_up is plausible within ECM turnover	medium	Collagen remodeling is supported by unloading and postflight soleus proteomics, but formation versus degradation direction is not consistently resolved.	Miller2001;Murgia2024	-0.0222152363571428	0.9384980690100172	0.0222152363571428	0.2032324161851852	0.0761076824814814	0.0298317394874073	prior_literature_match	prior literature match
R-MMU-9716542_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3	blue_plausible_complementary	plausible/complementary	FLT_up	plausible_indirect	FLT_up is plausible	low	Rho and MIRO biology connects cytoskeletal and mitochondrial remodeling, but this specific Reactome branch is not directly validated in soleus flight studies.	Murgia2024;Chopard2009	0.1210340902025714	0.3362874106998867	0.1210340902025714	0.1449452861425926	0.0693307643648147	0.0298317394874073	plausible_complementary	plausible/complementary
