review_row	term	observed_direction	reviewed_category	literature_alignment	direction_assessment	confidence	rationale	citations
1	R-MMU-163125_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS	FLT_up	orange_uncertain_no_direct_support	No direct skin-spaceflight evidence for GPI-anchor synthesis; only broad membrane remodeling relevance.	FLT_up direction uncertain.	low	GPI-anchor synthesis could alter membrane receptor display, but this pathway is too generic for a directional skin-spaceflight call.	Radstake2022;Cope2024
2	R-MMU-195258_RHO_GTPASE_EFFECTORS	FLT_up	blue_plausible_complementary	Microgravity and post-flight skin data support cytoskeletal and motility remodeling, but not this RHO effector set directly.	FLT_up is plausible but indirect.	medium	RHO effectors fit keratinocyte migration, immune-cell movement, and mechanotransduction during disturbed repair.	Park2024;Riwaldt2021;Radstake2022
3	R-MMU-453274_MITOTIC_G2_G2_M_PHASES	FLT_up	green_prior_aligned	Skin-spaceflight studies report DNA damage, regeneration, and hair-cycle changes consistent with proliferative cell-cycle activation.	FLT_up aligns with repair/regeneration stress.	medium	G2/M checkpoint and mitotic entry can rise with epidermal repair and hair follicle cycling after flight stress.	Cope2024;Park2024;Neutelings2015
4	R-MMU-388396_GPCR_DOWNSTREAM_SIGNALLING	FLT_up	blue_plausible_complementary	Skin-spaceflight work implicates neuroendocrine and receptor signaling, but broad GPCR downstream direction is not directly resolved.	FLT_up is plausible but indirect.	medium	GPCR signaling can mediate inflammatory, vascular, sensory, and stress-hormone responses in skin.	Radstake2022;Park2024
5	R-MMU-68877_MITOTIC_PROMETAPHASE	FLT_up	green_prior_aligned	Direct post-flight skin evidence supports DNA damage and regeneration programs, with mouse hair follicles shifted toward anagen.	FLT_up aligns with proliferative remodeling.	medium	Prometaphase activity is consistent with cell-cycle entry during repair and hair-cycle activation.	Cope2024;Neutelings2015
6	R-MMU-73894_DNA_REPAIR	FLT_up	green_prior_aligned	Human and mouse skin-spaceflight studies report DNA damage response and DNA repair pathway activation.	FLT_up aligns strongly.	high	DNA repair is a direct expected response to radiation, oxidative stress, and post-flight skin damage signatures.	Cope2024;Park2024;Radstake2022
7	R-MMU-446652_INTERLEUKIN_1_FAMILY_SIGNALING	FLT_up	green_prior_aligned	Post-flight human skin shows inflammatory pathway up-regulation across compartments.	FLT_up aligns with inflammatory skin response.	high	IL-1 family signaling is a close match to keratinocyte and innate immune inflammation after flight stress.	Park2024;Piipponen2020
8	R-MMU-196854_METABOLISM_OF_VITAMINS_AND_COFACTORS	FLT_up	blue_plausible_complementary	Astronaut biomarkers and skin reviews implicate vitamin D/cofactor shifts, but pathway direction in skin is indirect.	FLT_up is plausible but not directly established.	medium	Vitamin and cofactor metabolism can modulate barrier, redox, and immune responses in stressed skin.	Cope2024;Radstake2022
9	R-MMU-5362517_SIGNALING_BY_RETINOIC_ACID	FLT_up	blue_plausible_complementary	Retinoid signaling is central to epidermal differentiation, but spaceflight skin literature gives little direct direction evidence.	FLT_up is plausible but indirect.	low	Retinoic acid signaling could complement barrier repair and differentiation responses, without direct support for up-regulation.	Radstake2022;Piipponen2020
10	R-MMU-453279_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION	FLT_down	blue_plausible_complementary	Microgravity and wound-healing literature can support impaired proliferation, while skin repair and hair-cycle evidence is mixed.	FLT_down is plausible but mixed.	medium	Lower G1/S activity may reflect impaired keratinocyte proliferation or dermal atrophy rather than regeneration.	Cope2024;Neutelings2015;Riwaldt2021
11	R-MMU-8856828_CLATHRIN_MEDIATED_ENDOCYTOSIS	FLT_down	orange_uncertain_no_direct_support	Endocytosis can change during receptor remodeling, but direct skin-spaceflight evidence for clathrin pathway decrease is lacking.	FLT_down direction uncertain.	low	The term is broad trafficking biology and is not clearly linked to a directional flight skin phenotype.	Cope2024;Radstake2022
12	R-MMU-68886_M_PHASE	FLT_up	green_prior_aligned	Direct skin-spaceflight studies support cell-cycle and regenerative stress programs.	FLT_up aligns with repair-associated cycling.	medium	M phase activity matches proliferative remodeling and hair-cycle activation in flight-exposed skin.	Cope2024;Neutelings2015
13	R-MMU-2990846_SUMOYLATION	FLT_up	blue_plausible_complementary	SUMOylation is tied to DNA damage and stress responses, but skin-spaceflight direction is not directly reported.	FLT_up is plausible but indirect.	medium	Increased SUMOylation could support chromatin, DNA repair, and proteostasis under radiation/oxidative stress.	Cope2024;Afshinnekoo2020
14	R-MMU-191273_CHOLESTEROL_BIOSYNTHESIS	FLT_down	blue_plausible_complementary	Barrier disruption and lipid remodeling make lower cholesterol biosynthesis plausible, but direct pathway direction is weak.	FLT_down is plausible but indirect.	medium	Reduced cholesterol biosynthesis could contribute to impaired stratum-corneum lipid repair in stressed skin.	Park2024;Radstake2022
15	R-MMU-156580_PHASE_II_CONJUGATION_OF_COMPOUNDS	FLT_down	blue_plausible_complementary	Space-flown skin shows oxidative and detoxification remodeling, but a pathway-wide decrease in phase II conjugation is not directly established.	FLT_down is plausible but indirect.	medium	Lower phase II conjugation may indicate depleted or impaired detox capacity under oxidative stress rather than the canonical adaptive increase.	Mao2014;Radstake2022
16	R-MMU-199991_MEMBRANE_TRAFFICKING	FLT_up	orange_uncertain_no_direct_support	Membrane trafficking is broadly relevant, but direct skin-spaceflight evidence for pathway up-regulation is absent.	FLT_up direction uncertain.	low	The pathway is generic and could reflect many cell states rather than a known flight skin mechanism.	Cope2024;Radstake2022
17	R-MMU-109581_APOPTOSIS	FLT_up	green_prior_aligned	Post-flight human skin enriched apoptosis-related pathways, and microgravity wound literature highlights altered apoptosis.	FLT_up aligns with cell-death remodeling.	high	Apoptosis is expected in damaged or remodeling epidermal and immune compartments after stress.	Park2024;Riwaldt2021
