term	reviewed_category	reviewed_category_label	observed_direction	literature_alignment	direction_assessment	confidence	review_rationale	citations	flight_minus_ground	welch_fdr	abs_effect	mean_abs_accession_effect	abs_mean_accession_effect	low_effect_threshold	category	category_label
R-MMU-9012999_RHO_GTPASE_CYCLE	blue_plausible_complementary	plausible/complementary	FLT_up	Microgravity alters cytoskeleton and hepatocyte actin/SREBP mechanotransduction, making Rho-family signaling plausible.	Partially aligned: FLT_up fits cytoskeletal remodeling, but direct Rho-cycle direction in liver is indirect.	medium	Rho GTPases regulate actin and mechanotransduction, relevant to microgravity liver responses but not directly validated here.	Li2026;Kim2024	0.1107449696729414	0.0211153151205542	0.1107449696729414	0.1278508901202108	0.1028774743186236	0.0142490675319928	plausible_complementary	plausible/complementary
R-MMU-9716542_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3	blue_plausible_complementary	plausible/complementary	FLT_up	Cytoskeletal and mitochondrial stress responses make Rho/MIRO signaling plausible, but liver direction is indirect.	Partially aligned: FLT_up fits mechanotransduction/mitochondrial remodeling.	medium	The pathway bridges actin and mitochondrial dynamics, both relevant to spaceflight stress.	Li2026;daSilveira2020	0.064320115696715	0.1722931045364368	0.064320115696715	0.0808716925780175	0.0687144710241328	0.0142490675319928	plausible_complementary	plausible/complementary
R-MMU-5684996_MAPK1_MAPK3_SIGNALING	blue_plausible_complementary	plausible/complementary	FLT_up	MAPK1/3 can respond to liver injury, cytokines, and mechanical stress, but direct liver spaceflight direction is weak.	Partially aligned: FLT_up is plausible stress signaling.	medium	MAPK1/3 fits metabolic/inflammatory stress but is not directly established as increased in liver spaceflight.	daSilveira2020;Vinken2022	0.0701937282608367	0.1343378896873826	0.0701937282608367	0.0890877597862823	0.0617996867307267	0.0142490675319928	plausible_complementary	plausible/complementary
R-MMU-9764274_REGULATION_OF_EXPRESSION_AND_FUNCTION_OF_TYPE_I_CLASSICAL_CADHERINS	blue_plausible_complementary	plausible/complementary	FLT_up	Cadherin regulation fits adhesion and tissue remodeling under microgravity/liver injury, but direct support is indirect.	Partially aligned: FLT_up is plausible as junction/ECM remodeling.	medium	Cadherin changes could accompany hepatic structural remodeling but are not directly reported.	Li2026;Vinken2022	-0.0496602480263237	0.8792690931924825	0.0496602480263237	0.2143041727768373	0.060125318244988	0.0142490675319928	plausible_complementary	plausible/complementary
R-MMU-425407_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	blue_plausible_complementary	plausible/complementary	FLT_up	Liver spaceflight affects metabolites, amino acids, bile/xenobiotic handling, and transporters, but this SLC term is broad.	Partially aligned: FLT_up is plausible as transport remodeling.	medium	The broad SLC pathway may reflect liver metabolic transporter adaptation without exact direction evidence.	Kurosawa2021;Vinken2022	0.0399164426503682	0.2240027653863984	0.0399164426503682	0.0759370012234553	0.0439460130488519	0.0142490675319928	broad_or_uncertain_signal	broad/uncertain signal
R-MMU-9006936_SIGNALING_BY_TGFB_FAMILY_MEMBERS	blue_plausible_complementary	plausible/complementary	FLT_up	TGFB signaling is central to liver fibrosis and stellate-cell activation, and spaceflight liver injury makes it plausible.	Partially aligned: FLT_up fits profibrotic/remodeling biology but direct liver spaceflight direction is not firm.	medium	The pathway is very plausible mechanistically but still indirect for this model.	Jonscher2016;Friedman2008;Vinken2022	0.0182737797337628	0.6366349347210124	0.0182737797337628	0.0866732853979078	0.0378154367132032	0.0142490675319928	broad_or_uncertain_signal	broad/uncertain signal
R-MMU-166663_INITIAL_TRIGGERING_OF_COMPLEMENT	blue_plausible_complementary	plausible/complementary	FLT_up	Complement activation is plausible in liver/systemic inflammation, but exact spaceflight liver direction is weak.	Partially aligned: FLT_up fits inflammatory complement involvement without direct liver validation.	medium	The liver produces complement proteins, making this plausible but not proven.	Houerbi2024;Crucian2018	0.0383618417159141	0.200413129128454	0.0383618417159141	0.0670006873266397	0.0310852651321953	0.0142490675319928	prior_literature_match	prior literature match
R-MMU-373755_SEMAPHORIN_INTERACTIONS	blue_plausible_complementary	plausible/complementary	FLT_up	Semaphorin biology can intersect vascular, immune, and fibrotic remodeling, but direct liver spaceflight evidence is weak.	Partially aligned: FLT_up is plausible as remodeling biology, not a validated published liver direction.	low	The term is a hypothesis-level liver remodeling signal rather than established spaceflight biology.	Friedman2008;Vinken2022	0.0453922478688015	0.0970567148933287	0.0453922478688015	0.0495128971846443	0.0310585555179777	0.0142490675319928	plausible_complementary	plausible/complementary
R-MMU-977606_REGULATION_OF_COMPLEMENT_CASCADE	blue_plausible_complementary	plausible/complementary	FLT_up	Complement is liver-produced and immune-relevant, and spaceflight alters immune/coagulation proteins, but direction is not liver-specific.	Partially aligned: FLT_up is plausible for inflammatory systemic remodeling.	medium	Complement regulation fits liver-immune crosstalk but has indirect directional support.	Houerbi2024;Crucian2018	0.0476192932728364	0.1788197735109013	0.0476192932728364	0.0518905603112148	0.0257521781167703	0.0142490675319928	prior_literature_match	prior literature match
R-MMU-3371556_CELLULAR_RESPONSE_TO_HEAT_STRESS	blue_plausible_complementary	plausible/complementary	FLT_up	Spaceflight produces proteotoxic, oxidative, and stress-response signatures, but heat-stress specificity is indirect.	Partially aligned: FLT_up fits stress-protein biology, not literal heat exposure.	medium	Heat-stress Reactome genes overlap with proteostasis stress, which is reported in spaceflight liver.	Blaber2017;daSilveira2020	0.0421976950118495	0.267970544518852	0.0421976950118495	0.0584386881331846	0.0228626533554068	0.0142490675319928	broad_or_uncertain_signal	broad/uncertain signal
