term	reviewed_category	reviewed_category_label	observed_direction	literature_alignment	direction_assessment	confidence	review_rationale	citations	flight_minus_ground	welch_fdr	abs_effect	mean_abs_accession_effect	abs_mean_accession_effect	low_effect_threshold	category	category_label
R-MMU-211897_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE	green_prior_aligned	prior literature aligned	FLT_up	Mouse liver spaceflight studies directly report altered CYP isoforms and xenobiotic metabolism.	Aligned: FLT_up matches hepatic CYP/ADME remodeling.	high	Cytochrome P450 is a direct liver spaceflight pathway with strong prior support.	Moskaleva2015;Kurosawa2021;Vinken2022	-0.1531992413454328	0.7455791284701366	0.1531992413454328	0.377664785673761	0.2081997084929057	0.0142490675319928	prior_literature_match	prior literature match
R-MMU-168256_IMMUNE_SYSTEM	green_prior_aligned	prior literature aligned	FLT_up	Spaceflight multi-omics consistently reports immune dysregulation, innate immunity, and chronic inflammation.	Aligned: FLT_up matches a broad immune/inflammatory spaceflight signature.	medium	The immune-system signal is broad but well supported as part of liver/systemic spaceflight response.	daSilveira2020;Crucian2018;Vinken2022	0.1631336071621421	0.0630848243583071	0.1631336071621421	0.2274073476791666	0.1549859140283728	0.0142490675319928	prior_literature_match	prior literature match
R-MMU-9012999_RHO_GTPASE_CYCLE	blue_plausible_complementary	plausible/complementary	FLT_up	Microgravity alters cytoskeleton and hepatocyte actin/SREBP mechanotransduction, making Rho-family signaling plausible.	Partially aligned: FLT_up fits cytoskeletal remodeling, but direct Rho-cycle direction in liver is indirect.	medium	Rho GTPases regulate actin and mechanotransduction, relevant to microgravity liver responses but not directly validated here.	Li2026;Kim2024	0.1107449696729414	0.0211153151205542	0.1107449696729414	0.1278508901202108	0.1028774743186236	0.0142490675319928	plausible_complementary	plausible/complementary
R-MMU-9033241_PEROXISOMAL_PROTEIN_IMPORT	green_prior_aligned	prior literature aligned	FLT_up	Peroxisomal function is closely tied to hepatic fatty-acid oxidation and PPAR/lipid remodeling reported in spaceflight liver.	Aligned: FLT_up fits peroxisome-lipid metabolic adaptation.	medium	Peroxisomal import is a plausible direct arm of fatty-acid and oxidative metabolism changes.	Jonscher2016;Beheshti2019	-0.0555775975578221	0.7747933188682732	0.0555775975578221	0.2137485691142325	0.1014803467246564	0.0142490675319928	prior_literature_match	prior literature match
R-MMU-9006925_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	orange_uncertain_no_direct_support	uncertain/no direct support	FLT_up	Second-messenger signaling is too broad to assign a specific liver spaceflight direction.	Uncertain: FLT_up may be downstream of many unrelated processes.	low	This broad signaling term lacks pathway-specific evidence.	Ilangovan2024	0.0614215736500671	0.1304427546647291	0.0614215736500671	0.1126375921385597	0.0957514273506873	0.0142490675319928	plausible_complementary	plausible/complementary
R-MMU-6806667_METABOLISM_OF_FAT_SOLUBLE_VITAMINS	green_prior_aligned	prior literature aligned	FLT_up	Mouse liver spaceflight studies report retinol loss from lipid droplets and fat-soluble vitamin/lipid disruption.	Aligned: FLT_up fits retinoid/fat-soluble vitamin remodeling in spaceflight liver.	high	Retinoid and fat-soluble vitamin metabolism are directly tied to the reported hepatic lipotoxic response.	Jonscher2016;Beheshti2019	0.076548653359187	0.0928142472734009	0.076548653359187	0.1101612758855319	0.0948898500773379	0.0142490675319928	broad_or_uncertain_signal	broad/uncertain signal
R-MMU-9757110_PREDNISONE_ADME	orange_uncertain_no_direct_support	uncertain/no direct support	FLT_up	General hepatic ADME is supported, but prednisone-specific metabolism is not relevant without exposure evidence.	Uncertain: FLT_up likely reflects shared CYP/ADME genes rather than prednisone biology.	medium	The drug-specific label is not directly supported, despite strong generic ADME evidence.	Moskaleva2015;Vinken2022	0.0043733558459576	0.9969772782976236	0.0043733558459576	0.1183996693859098	0.0912985977153446	0.0142490675319928	broad_or_uncertain_signal	broad/uncertain signal
R-MMU-8953897_CELLULAR_RESPONSES_TO_STIMULI	orange_uncertain_no_direct_support	uncertain/no direct support	FLT_up	Spaceflight broadly alters cellular stress responses, but the term is too generic for directional liver interpretation.	Uncertain: FLT_up is compatible with stress but not pathway-specific.	low	This pathway is a broad umbrella and cannot be tied to a specific prior liver direction.	daSilveira2020;Ilangovan2024	0.0801574604469772	0.0501362789319497	0.0801574604469772	0.0932084981491026	0.0910546637338979	0.0142490675319928	broad_or_uncertain_signal	broad/uncertain signal
R-MMU-9837999_MITOCHONDRIAL_PROTEIN_DEGRADATION	green_prior_aligned	prior literature aligned	FLT_up	Spaceflight multi-omics identifies mitochondrial stress as a central hub and liver proteostasis is altered.	Aligned: FLT_up matches mitochondrial proteostasis/stress remodeling.	high	Mitochondrial protein quality control fits central spaceflight mitochondrial stress and liver proteostasis findings.	daSilveira2020;Blaber2017	0.0091664773273587	0.9206565884284096	0.0091664773273587	0.1425223800695064	0.0886246235054934	0.0142490675319928	prior_literature_match	prior literature match
R-MMU-5693538_HOMOLOGY_DIRECTED_REPAIR	green_prior_aligned	prior literature aligned	FLT_up	Space radiation and spaceflight studies support DNA damage and repair responses.	Aligned: FLT_up fits DNA repair activation under spaceflight radiation/oxidative stress.	medium	Homology-directed repair is a specific DNA damage response compatible with spaceflight genomic stress.	Luxton2020;daSilveira2020	0.0817140758407077	0.260203601616832	0.0817140758407077	0.1443848336416197	0.0860511353876515	0.0142490675319928	broad_or_uncertain_signal	broad/uncertain signal
R-MMU-76005_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2	orange_uncertain_no_direct_support	uncertain/no direct support	FLT_up	Spaceflight coagulation changes are reported, but platelet calcium response is a blood-cell pathway rather than liver-specific.	Uncertain: FLT_up likely reflects systemic hemostasis if real.	medium	The term is platelet-specific and lacks a direct hepatic interpretation.	Houerbi2024	0.0821151455399731	0.200413129128454	0.0821151455399731	0.1437728284882008	0.0790439992024865	0.0142490675319928	plausible_complementary	plausible/complementary
R-MMU-76002_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	orange_uncertain_no_direct_support	uncertain/no direct support	FLT_up	Short-duration spaceflight secretome data show coagulation changes, but platelet activation is systemic and not a direct liver HVG pathway.	Uncertain: FLT_up may reflect systemic hemostasis rather than liver pathway activity.	medium	The term is plausible at organism level but weak as a liver-specific pathway direction.	Houerbi2024	0.0706294273736312	0.0477062478884112	0.0706294273736312	0.08427383866529	0.0776969594986234	0.0142490675319928	plausible_complementary	plausible/complementary
R-MMU-69278_CELL_CYCLE_MITOTIC	green_prior_aligned	prior literature aligned	FLT_up	Spaceflight multi-omics reports cell-cycle pathway changes, and liver injury repair can engage mitotic programs.	Aligned: FLT_up fits stress/repair-associated cell-cycle remodeling.	medium	Mitotic cell-cycle activation is compatible with published spaceflight cell-cycle signatures.	daSilveira2020;Vinken2022	0.0682116319499026	0.267970544518852	0.0682116319499026	0.1834854733650883	0.0775800316984217	0.0142490675319928	plausible_complementary	plausible/complementary
R-MMU-5173214_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS	orange_uncertain_no_direct_support	uncertain/no direct support	FLT_up	TSR-domain O-glycosylation can relate to secreted/ECM proteins, but no direct spaceflight liver direction supports it.	Uncertain: FLT_up is not clearly interpretable from prior literature.	low	The pathway is specific and lacks direct liver spaceflight support.	Ilangovan2024	0.0573799752243138	0.0970567148933287	0.0573799752243138	0.0760836360577447	0.0760836360577447	0.0142490675319928	broad_or_uncertain_signal	broad/uncertain signal
R-MMU-375276_PEPTIDE_LIGAND_BINDING_RECEPTORS	orange_uncertain_no_direct_support	uncertain/no direct support	FLT_up	Peptide ligand receptor signaling is broad and lacks a specific liver spaceflight direction.	Uncertain: FLT_up may reflect many unrelated receptor systems.	low	The pathway is too generic for confident literature alignment.	Mathyk2024;Vinken2022	0.0767043882285885	0.1382376302114744	0.0767043882285885	0.0917193442142519	0.0758370738174265	0.0142490675319928	broad_or_uncertain_signal	broad/uncertain signal
R-MMU-372790_SIGNALING_BY_GPCR	orange_uncertain_no_direct_support	uncertain/no direct support	FLT_up	GPCR signaling is broad and may capture many liver/endocrine receptors, but direct spaceflight direction is not specific.	Uncertain: FLT_up is too generic to align confidently.	low	The pathway lacks enough specificity for a literature-supported liver call.	Mathyk2024;Vinken2022	0.0892868126593671	0.0997883534730592	0.0892868126593671	0.127264911017856	0.0699895185575385	0.0142490675319928	plausible_complementary	plausible/complementary
R-MMU-9716542_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3	blue_plausible_complementary	plausible/complementary	FLT_up	Cytoskeletal and mitochondrial stress responses make Rho/MIRO signaling plausible, but liver direction is indirect.	Partially aligned: FLT_up fits mechanotransduction/mitochondrial remodeling.	medium	The pathway bridges actin and mitochondrial dynamics, both relevant to spaceflight stress.	Li2026;daSilveira2020	0.064320115696715	0.1722931045364368	0.064320115696715	0.0808716925780175	0.0687144710241328	0.0142490675319928	plausible_complementary	plausible/complementary
R-MMU-1500931_CELL_CELL_COMMUNICATION	orange_uncertain_no_direct_support	uncertain/no direct support	FLT_up	Cell-cell communication is broadly plausible in liver inflammation/remodeling but too nonspecific for direct support.	Uncertain: FLT_up cannot be assigned to a specific literature-backed pathway.	low	This umbrella term lacks pathway specificity.	Ilangovan2024;Vinken2022	0.053228528236088	0.4291242943015671	0.053228528236088	0.0861919843972386	0.0686962050472058	0.0142490675319928	broad_or_uncertain_signal	broad/uncertain signal
R-MMU-1483206_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS	green_prior_aligned	prior literature aligned	FLT_up	Spaceflight studies report altered glycerophospholipids and hepatic lipid metabolism.	Aligned: FLT_up matches reported phospholipid/lipid pathway remodeling.	high	Glycerophospholipid biosynthesis is directly tied to published in-flight lipidomics and liver lipid findings.	Uruno2021;Beheshti2019	0.0460641578615494	0.3190043307271015	0.0460641578615494	0.132163447860366	0.0665725993465539	0.0142490675319928	prior_literature_match	prior literature match
R-MMU-71291_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	green_prior_aligned	prior literature aligned	FLT_up	Liver spaceflight studies report altered amino-acid, sulfur, and glutathione-related metabolism.	Aligned: FLT_up matches reported hepatic amino-acid and sulfur metabolic remodeling.	high	The liver is central for amino-acid metabolism, and spaceflight directly perturbs these pathways.	Kurosawa2021;Blaber2017;Vitry2022	0.0476730539823013	0.0562964521619771	0.0476730539823013	0.0891316945021041	0.0623102815642039	0.0142490675319928	prior_literature_match	prior literature match
R-MMU-3700989_TRANSCRIPTIONAL_REGULATION_BY_TP53	green_prior_aligned	prior literature aligned	FLT_up	Spaceflight radiation/oxidative stress literature supports DNA damage responses, p53-linked stress, and cell-cycle regulation.	Aligned: FLT_up fits increased DNA-damage and stress-response signaling.	medium	TP53 regulation is a close response to space radiation, oxidative stress, senescence, and apoptosis.	Luxton2020;Vinken2022;daSilveira2020	0.0443522021126443	0.0806302250529709	0.0443522021126443	0.0642516846609742	0.0622732104973798	0.0142490675319928	broad_or_uncertain_signal	broad/uncertain signal
R-MMU-5684996_MAPK1_MAPK3_SIGNALING	blue_plausible_complementary	plausible/complementary	FLT_up	MAPK1/3 can respond to liver injury, cytokines, and mechanical stress, but direct liver spaceflight direction is weak.	Partially aligned: FLT_up is plausible stress signaling.	medium	MAPK1/3 fits metabolic/inflammatory stress but is not directly established as increased in liver spaceflight.	daSilveira2020;Vinken2022	0.0701937282608367	0.1343378896873826	0.0701937282608367	0.0890877597862823	0.0617996867307267	0.0142490675319928	plausible_complementary	plausible/complementary
R-MMU-191273_CHOLESTEROL_BIOSYNTHESIS	green_prior_aligned	prior literature aligned	FLT_up	Spaceflight liver/hepatocyte studies report lipid and cholesterol synthesis/remodeling, including SREBP-related changes.	Aligned: FLT_up matches hepatic cholesterol biosynthesis remodeling.	high	Cholesterol biosynthesis is directly supported by liver/hepatocyte spaceflight literature.	Li2026;Beheshti2019;Uruno2021	0.0022472470571621	0.9969772782976236	0.0022472470571621	0.2480289788858395	0.0614488249376009	0.0142490675319928	prior_literature_match	prior literature match
R-MMU-9764274_REGULATION_OF_EXPRESSION_AND_FUNCTION_OF_TYPE_I_CLASSICAL_CADHERINS	blue_plausible_complementary	plausible/complementary	FLT_up	Cadherin regulation fits adhesion and tissue remodeling under microgravity/liver injury, but direct support is indirect.	Partially aligned: FLT_up is plausible as junction/ECM remodeling.	medium	Cadherin changes could accompany hepatic structural remodeling but are not directly reported.	Li2026;Vinken2022	-0.0496602480263237	0.8792690931924825	0.0496602480263237	0.2143041727768373	0.060125318244988	0.0142490675319928	plausible_complementary	plausible/complementary
R-MMU-1266738_DEVELOPMENTAL_BIOLOGY	orange_uncertain_no_direct_support	uncertain/no direct support	FLT_up	Developmental biology is too broad and not a direct adult liver spaceflight pathway.	Uncertain: FLT_up is not interpretable as a specific prior-aligned direction.	low	The term aggregates many unrelated processes and lacks liver-specific support.	Ilangovan2024	0.0332081165441722	0.3092282276266725	0.0332081165441722	0.0677381540301582	0.0567469451365085	0.0142490675319928	broad_or_uncertain_signal	broad/uncertain signal
R-MMU-380108_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	green_prior_aligned	prior literature aligned	FLT_up	Spaceflight immune dysregulation and liver inflammation support chemokine/cytokine signaling.	Aligned: FLT_up is consistent with inflammatory chemokine pathway engagement.	medium	Chemokine receptor signaling is a close immune-inflammation mechanism in spaceflight stress.	Crucian2018;Kim2024;Vinken2022	0.0779923980709464	0.2986283727712523	0.0779923980709464	0.126451738685879	0.0565687111461965	0.0142490675319928	broad_or_uncertain_signal	broad/uncertain signal
R-MMU-913709_O_LINKED_GLYCOSYLATION_OF_MUCINS	orange_uncertain_no_direct_support	uncertain/no direct support	FLT_up	Mucin O-glycosylation could relate to biliary/secretory biology, but no direct liver spaceflight direction supports it.	Uncertain: FLT_up is not literature anchored.	low	The pathway is specific but not tied to published liver flight responses.	Ilangovan2024	0.0261329107275461	0.5331252870541111	0.0261329107275461	0.0934536243152278	0.0546998365458832	0.0142490675319928	broad_or_uncertain_signal	broad/uncertain signal
R-MMU-2559586_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	green_prior_aligned	prior literature aligned	FLT_up	Spaceflight radiation studies support DNA damage, telomere responses, and senescence-like stress programs.	Aligned: FLT_up strongly matches DNA damage/telomere stress biology.	high	This pathway directly matches space radiation/telomere/DNA-damage literature.	Luxton2020;GarrettBakelman2019;Blaber2017	0.008600504553255	0.9867793192067352	0.008600504553255	0.0984805707181182	0.0541160650989938	0.0142490675319928	plausible_complementary	plausible/complementary
R-MMU-73857_RNA_POLYMERASE_II_TRANSCRIPTION	orange_uncertain_no_direct_support	uncertain/no direct support	FLT_up	Spaceflight alters transcription broadly, but RNA Pol II transcription is too generic for directional liver interpretation.	Uncertain: FLT_up reflects global expression remodeling rather than a supported pathway direction.	low	The term lacks biological specificity for a literature-aligned color.	Ilangovan2024;daSilveira2020	0.0297199178641069	0.2642443247067215	0.0297199178641069	0.0594652447495528	0.053789970940029	0.0142490675319928	broad_or_uncertain_signal	broad/uncertain signal
R-MMU-556833_METABOLISM_OF_LIPIDS	green_prior_aligned	prior literature aligned	FLT_up	Lipid dysregulation is the most replicated mouse liver spaceflight theme.	Aligned: FLT_up matches canonical hepatic lipid remodeling in flight.	high	Multiple missions and studies directly support liver lipid metabolism disruption during spaceflight.	Beheshti2019;Jonscher2016;Li2026	0.0505941471876414	0.0811962298595022	0.0505941471876414	0.0888241003322374	0.0532841408864004	0.0142490675319928	prior_literature_match	prior literature match
R-MMU-109581_APOPTOSIS	green_prior_aligned	prior literature aligned	FLT_up	Reviews and liver spaceflight studies report liver injury, oxidative stress, apoptosis, and senescence.	Aligned: FLT_up matches expected increased cell-death stress in spaceflight liver.	high	Apoptosis is a direct liver injury response under oxidative and metabolic spaceflight stress.	Vinken2022;Blaber2017	0.0526604826739913	0.0533246906869974	0.0526604826739913	0.0566891906068744	0.0532711248290966	0.0142490675319928	plausible_complementary	plausible/complementary
R-MMU-9748784_DRUG_ADME	green_prior_aligned	prior literature aligned	FLT_up	Spaceflight liver studies directly support altered drug metabolism, CYP content, and xenobiotic biotransformation.	Aligned: FLT_up matches hepatic ADME remodeling during flight.	high	Drug ADME is one of the strongest liver-relevant spaceflight pathway families.	Moskaleva2015;Vinken2022	0.0928682667211644	0.4469023409601608	0.0928682667211644	0.0899201314835699	0.0500369011462684	0.0142490675319928	prior_literature_match	prior literature match
R-MMU-75105_FATTY_ACYL_COA_BIOSYNTHESIS	green_prior_aligned	prior literature aligned	FLT_up	Fatty-acid and cholesterol synthesis/remodeling are directly reported in liver/hepatocyte spaceflight studies.	Aligned: FLT_up matches increased fatty-acid synthesis/metabolic remodeling.	high	Fatty acyl-CoA biosynthesis is close to canonical fatty-acid metabolism changes in spaceflight liver.	Beheshti2019;Li2026;Jonscher2016	0.0154400694450148	0.3438924558892414	0.0154400694450148	0.0688299310299514	0.0465968710818716	0.0142490675319928	prior_literature_match	prior literature match
R-MMU-425407_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	blue_plausible_complementary	plausible/complementary	FLT_up	Liver spaceflight affects metabolites, amino acids, bile/xenobiotic handling, and transporters, but this SLC term is broad.	Partially aligned: FLT_up is plausible as transport remodeling.	medium	The broad SLC pathway may reflect liver metabolic transporter adaptation without exact direction evidence.	Kurosawa2021;Vinken2022	0.0399164426503682	0.2240027653863984	0.0399164426503682	0.0759370012234553	0.0439460130488519	0.0142490675319928	broad_or_uncertain_signal	broad/uncertain signal
R-MMU-1430728_METABOLISM	green_prior_aligned	prior literature aligned	FLT_up	Mouse liver is one of the strongest spaceflight metabolic targets across lipid, carbohydrate, amino-acid, and xenobiotic metabolism.	Aligned: FLT_up matches broad hepatic metabolic remodeling.	medium	The term is broad but directly consistent with extensive liver spaceflight metabolism literature.	Beheshti2019;Kurosawa2021;Ilangovan2024	0.0379549247412622	0.6551301796349228	0.0379549247412622	0.0926445039447858	0.0405896219811403	0.0142490675319928	broad_or_uncertain_signal	broad/uncertain signal
R-MMU-500792_GPCR_LIGAND_BINDING	orange_uncertain_no_direct_support	uncertain/no direct support	FLT_up	GPCR ligand binding is a broad receptor-family label without direct liver spaceflight direction.	Uncertain: FLT_up cannot be tied to a specific supported mechanism.	low	Too many unrelated GPCRs are bundled for a confident pathway interpretation.	Mathyk2024;Vinken2022	0.0480564801712162	0.1208709850913811	0.0480564801712162	0.0601424665176493	0.0396798013589192	0.0142490675319928	plausible_complementary	plausible/complementary
R-MMU-163125_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS	orange_uncertain_no_direct_support	uncertain/no direct support	FLT_up	GPI-anchor synthesis is not a reported liver spaceflight pathway.	Uncertain: FLT_up lacks direct biological support.	low	The pathway is specific and not linked to the established liver flight response.	Ilangovan2024	0.0438772766334332	0.3595929594438814	0.0438772766334332	0.093516303549354	0.0385645137969731	0.0142490675319928	broad_or_uncertain_signal	broad/uncertain signal
R-MMU-9006936_SIGNALING_BY_TGFB_FAMILY_MEMBERS	blue_plausible_complementary	plausible/complementary	FLT_up	TGFB signaling is central to liver fibrosis and stellate-cell activation, and spaceflight liver injury makes it plausible.	Partially aligned: FLT_up fits profibrotic/remodeling biology but direct liver spaceflight direction is not firm.	medium	The pathway is very plausible mechanistically but still indirect for this model.	Jonscher2016;Friedman2008;Vinken2022	0.0182737797337628	0.6366349347210124	0.0182737797337628	0.0866732853979078	0.0378154367132032	0.0142490675319928	broad_or_uncertain_signal	broad/uncertain signal
R-MMU-174824_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE	green_prior_aligned	prior literature aligned	FLT_up	Spaceflight liver studies repeatedly identify lipid, cholesterol, and lipoprotein pathway disruption.	Aligned: FLT_up matches increased/remodeled hepatic lipoprotein handling.	high	This is a direct extension of the canonical liver lipid dysregulation signal.	Beheshti2019;Uruno2021;Li2026	0.0547579455677214	0.0970567148933287	0.0547579455677214	0.0548082338397966	0.0371796616175743	0.0142490675319928	prior_literature_match	prior literature match
R-MMU-9975921_ASSEMBLY_OF_THE_9_0_PRIMARY_CILIUM	orange_uncertain_no_direct_support	uncertain/no direct support	FLT_up	Primary cilium assembly can participate in mechanosensing, but no direct liver spaceflight direction supports this term.	Uncertain: FLT_up is speculative.	low	Ciliary mechanobiology is plausible in principle but not supported by direct liver literature here.	Li2026;Vinken2022	0.0138362100644964	0.3624106827295426	0.0138362100644964	0.0412964870953369	0.0363223151268853	0.0142490675319928	likely_artifact	likely artifact/junk
R-MMU-8963899_PLASMA_LIPOPROTEIN_REMODELING	green_prior_aligned	prior literature aligned	FLT_up	Multiple mouse liver spaceflight studies support lipid and lipoprotein remodeling.	Aligned: FLT_up matches the canonical hepatic lipid/lipoprotein spaceflight response.	high	Plasma lipoprotein remodeling is tightly linked to liver lipid handling and reported spaceflight lipotoxicity.	Beheshti2019;Jonscher2016;Uruno2021	0.0450982438593068	0.0577481776051494	0.0450982438593068	0.050915894757357	0.032513299757357	0.0142490675319928	prior_literature_match	prior literature match
R-MMU-8953854_METABOLISM_OF_RNA	orange_uncertain_no_direct_support	uncertain/no direct support	FLT_up	RNA metabolism may change in broad spaceflight transcriptomic remodeling, but direct liver direction is unsupported.	Uncertain: FLT_up is broad and not pathway-specific.	low	This is a generic gene-expression process rather than a clear liver mechanism.	Ilangovan2024;daSilveira2020	0.0378223914219286	0.3146112382422684	0.0378223914219286	0.0405565970816455	0.0321507119149789	0.0142490675319928	broad_or_uncertain_signal	broad/uncertain signal
R-MMU-8957322_METABOLISM_OF_STEROIDS	green_prior_aligned	prior literature aligned	FLT_up	Spaceflight liver literature reports lipid/steroid-related and estrogen pathway changes.	Aligned: FLT_up fits steroid/metabolic remodeling in liver.	medium	Steroid metabolism is liver-relevant and close to reported estrogen and lipid signaling changes.	Mathyk2024;Beheshti2019;Vinken2022	0.0239102159026549	0.2414237747631993	0.0239102159026549	0.0414373475210645	0.031872655960747	0.0142490675319928	prior_literature_match	prior literature match
R-MMU-1169410_ANTIMICROBIAL_MECHANISM_OF_IFN_STIMULATED_GENES	green_prior_aligned	prior literature aligned	FLT_up	Spaceflight multi-omics and immune studies identify interferon/innate immune pathway changes.	Aligned: FLT_up agrees with increased interferon-stimulated innate immune signaling in spaceflight contexts.	medium	IFN-stimulated antimicrobial genes are close to reported spaceflight innate immune and interferon changes.	daSilveira2020;Kim2024;Crucian2018	0.0258064965340632	0.0345828834937243	0.0258064965340632	0.0417518204699388	0.0315738839575221	0.0142490675319928	broad_or_uncertain_signal	broad/uncertain signal
R-MMU-166663_INITIAL_TRIGGERING_OF_COMPLEMENT	blue_plausible_complementary	plausible/complementary	FLT_up	Complement activation is plausible in liver/systemic inflammation, but exact spaceflight liver direction is weak.	Partially aligned: FLT_up fits inflammatory complement involvement without direct liver validation.	medium	The liver produces complement proteins, making this plausible but not proven.	Houerbi2024;Crucian2018	0.0383618417159141	0.200413129128454	0.0383618417159141	0.0670006873266397	0.0310852651321953	0.0142490675319928	prior_literature_match	prior literature match
R-MMU-373755_SEMAPHORIN_INTERACTIONS	blue_plausible_complementary	plausible/complementary	FLT_up	Semaphorin biology can intersect vascular, immune, and fibrotic remodeling, but direct liver spaceflight evidence is weak.	Partially aligned: FLT_up is plausible as remodeling biology, not a validated published liver direction.	low	The term is a hypothesis-level liver remodeling signal rather than established spaceflight biology.	Friedman2008;Vinken2022	0.0453922478688015	0.0970567148933287	0.0453922478688015	0.0495128971846443	0.0310585555179777	0.0142490675319928	plausible_complementary	plausible/complementary
R-MMU-1483257_PHOSPHOLIPID_METABOLISM	green_prior_aligned	prior literature aligned	FLT_up	Spaceflight studies report altered plasma and tissue phospholipids and hepatic lipid dysregulation.	Aligned: FLT_up matches phospholipid/lipid remodeling during spaceflight.	high	Phospholipid metabolism is directly supported by spaceflight lipidomics and liver transcriptomics.	Uruno2021;Beheshti2019;Li2026	0.0428426124207664	0.1649950755672554	0.0428426124207664	0.0674883381617876	0.0307958226816288	0.0142490675319928	prior_literature_match	prior literature match
R-MMU-156588_GLUCURONIDATION	green_prior_aligned	prior literature aligned	FLT_up	Hepatic drug/xenobiotic metabolism and phase-II detoxification are altered in spaceflight liver literature.	Aligned: FLT_up fits detoxification and conjugation pathway remodeling.	medium	Glucuronidation is a liver-relevant phase-II pathway tied to xenobiotic handling.	Moskaleva2015;Vinken2022	0.0681910768195702	0.3490882733652291	0.0681910768195702	0.1116673263103068	0.030665614946418	0.0142490675319928	prior_literature_match	prior literature match
R-MMU-8964043_PLASMA_LIPOPROTEIN_CLEARANCE	green_prior_aligned	prior literature aligned	FLT_up	Hepatic lipoprotein clearance is part of the replicated liver lipid dysregulation spaceflight theme.	Aligned: FLT_up matches altered lipoprotein and lipid handling.	high	This pathway is directly connected to liver lipid/lipoprotein remodeling during spaceflight.	Beheshti2019;Jonscher2016;Uruno2021	-0.0332399769937678	0.7007235800409473	0.0332399769937678	0.0787012436305528	0.0291607568972248	0.0142490675319928	prior_literature_match	prior literature match
R-MMU-73887_DEATH_RECEPTOR_SIGNALING	green_prior_aligned	prior literature aligned	FLT_up	Liver spaceflight reviews support injury, inflammation, apoptosis, and cell-death signaling.	Aligned: FLT_up matches expected death-receptor/apoptotic stress.	medium	Death receptor signaling is a close inflammatory apoptosis mechanism for stressed liver tissue.	Vinken2022;Blaber2017	0.045262265732181	0.1487074740875026	0.045262265732181	0.0532268533326215	0.0277988676421453	0.0142490675319928	broad_or_uncertain_signal	broad/uncertain signal
R-MMU-977606_REGULATION_OF_COMPLEMENT_CASCADE	blue_plausible_complementary	plausible/complementary	FLT_up	Complement is liver-produced and immune-relevant, and spaceflight alters immune/coagulation proteins, but direction is not liver-specific.	Partially aligned: FLT_up is plausible for inflammatory systemic remodeling.	medium	Complement regulation fits liver-immune crosstalk but has indirect directional support.	Houerbi2024;Crucian2018	0.0476192932728364	0.1788197735109013	0.0476192932728364	0.0518905603112148	0.0257521781167703	0.0142490675319928	prior_literature_match	prior literature match
R-MMU-162582_SIGNAL_TRANSDUCTION	orange_uncertain_no_direct_support	uncertain/no direct support	FLT_up	Signal transduction is too broad to assign a direct liver spaceflight direction.	Uncertain: FLT_up is not pathway-specific.	low	The term aggregates many mechanisms and lacks interpretability.	Ilangovan2024	-0.0008280098245085	0.9969772782976236	0.0008280098245085	0.0708030447727628	0.024309727727237	0.0142490675319928	broad_or_uncertain_signal	broad/uncertain signal
